fast_ema,slow_ema,breakout_window,atr_stop_mult,take_profit_mult,max_hold_bars,atr_window,train_total_return,train_profit_factor,train_payoff_ratio,train_win_rate,train_total_trades,train_max_drawdown,train_avg_hold_hours,train_hit_27pct_symbols,train_near_liq_trades,train_gt5x_trade_pct,train_pnl_share_from_gt5x,profitable_symbols,symbols_tested,profitable_symbol_ratio,centrality_distance,passed_train_gate
10,50,40,2.0,2.0,24,14,-0.0873116006478874,0.9929505238234159,1.4621951681730603,0.3976860033973509,6010,0.2940814727902178,11.29288293296054,3,0,0.008399039997530031,0.007021064085140449,6,20,0.3,3.0,False
10,50,40,2.0,2.0,48,14,-0.09352170831229223,0.9847207974933248,1.5731650077760215,0.3792442824655845,5845,0.29972152732676227,14.40118680193459,3,0,0.008761883802643203,0.009729308336744718,7,20,0.35,2.0,False
10,50,40,2.0,2.0,72,14,-0.08613434409984311,0.998940847484714,1.6281480426807158,0.3750226002418026,5859,0.3060499039454465,15.854993131624198,3,0,0.007556936096509646,0.006396944479568528,6,20,0.3,3.0,False
10,50,40,2.0,3.0,24,14,-0.05756372962572017,0.95336387955206,1.6147626394340222,0.34702680371577566,5662,0.2897771074042265,13.535093685544814,3,0,0.008557090600404094,0.005795459132560535,7,20,0.35,4.0,False
10,50,40,2.0,3.0,48,14,-0.04716204552477134,0.9523697112975696,1.9105019194729718,0.3121591704000834,5432,0.2980700062897133,18.617309587079266,3,0,0.013993038381024173,0.012710800323186647,9,20,0.45,3.0,False
10,50,40,2.0,3.0,72,14,-0.05518136116806884,0.9475976356747727,2.086455259512784,0.2936735259807729,5394,0.3042107429923691,21.42576418726844,2,0,0.013572831430163395,0.012083486901126627,6,20,0.3,4.0,False
10,50,40,2.0,4.0,24,14,-0.05635834772736461,0.9261866804785395,1.6523942478162954,0.3388380329936375,5498,0.28740348960470874,14.451820924452766,3,0,0.009801946304902096,0.006218088587684753,8,20,0.4,5.0,False
10,50,40,2.0,4.0,48,14,-0.04565313066252351,0.9412906805949619,2.1052893660839858,0.2909410370349228,5288,0.28985213946167643,20.870755705097647,2,0,0.013162822957243404,0.014046157691574166,9,20,0.45,4.0,False
10,50,40,2.0,4.0,72,14,-0.03329285799991093,0.9575158774644418,2.3817234642921776,0.27084238620268913,5172,0.28601283531448357,24.948699299794914,1,0,0.013564537770434638,0.014181544120489017,6,20,0.3,5.0,False
10,50,40,2.5,1.5,24,14,-0.10765709139487016,0.9807196955026228,1.2185798347728203,0.4326232059844278,6278,0.29353618766979045,12.775127494283426,3,0,0.003859313030554576,0.002898456363501992,4,20,0.2,4.0,False
10,50,40,2.5,1.5,48,14,-0.10102694310451019,0.9942951055334823,1.2466169274370986,0.43091550796357325,6043,0.2949901115869134,16.920458943640313,1,0,0.0025176922511598717,0.002956847541277582,4,20,0.2,3.0,False
10,50,40,2.5,1.5,72,14,-0.09454977929012244,1.0045249916799546,1.2642740704096471,0.4300518662612654,5843,0.28998521162377916,19.062718912678104,2,0,0.003957829230116554,0.004181154254179563,5,20,0.25,4.0,False
10,50,40,2.5,2.0,24,14,-0.08788901713558699,0.9066712305154032,1.4166641384754672,0.38982886623471713,5812,0.2876087876229527,14.663745026490123,3,0,0.004637820948193892,0.0037877207294383223,4,20,0.2,3.5,False
10,50,40,2.5,2.0,48,14,-0.07112401889702832,0.9209674144035151,1.5327837094671897,0.3744521969284943,5641,0.2878427914077238,20.83521134165121,2,0,0.004899323759073956,0.004262779690226343,5,20,0.25,2.5,False
10,50,40,2.5,2.0,72,14,-0.06053661054511909,0.9309526065571212,1.593187550186202,0.3675483338508314,5443,0.28813067493415856,24.293762074234785,1,0,0.00459801529704548,0.003728644001206072,6,20,0.3,3.5,False
10,50,40,2.5,3.0,24,14,-0.0646804585590409,0.9492651227167912,1.5657479079238048,0.3779237680491531,5575,0.2843585186817191,15.932737270302692,3,0,0.005024852656909082,0.00295517611575988,8,20,0.4,4.5,False
10,50,40,2.5,3.0,48,14,-0.04955251423958682,0.9789476465684392,1.8726644320370944,0.34237175503361983,5283,0.29228822916206965,23.70769759909108,1,0,0.007235824259959017,0.0056423687308009675,8,20,0.4,3.5,False
10,50,40,2.5,3.0,72,14,-0.049554718840412626,0.9810476083798918,2.0378504378998596,0.3237215693619634,5010,0.2921730002835591,28.534139065671845,1,0,0.003900173989344994,0.004252512910287538,8,20,0.4,4.5,False
10,50,40,2.5,4.0,24,14,-0.05737132208618845,0.9953370288369128,1.6660914359174395,0.3765689666213257,5604,0.28478419512547515,16.464600833329502,2,0,0.007991788719685856,0.007378069200423179,6,20,0.3,5.5,False
10,50,40,2.5,4.0,48,14,-0.027599736100047928,1.026015705584657,2.022820826963717,0.3358642812895101,5158,0.2521836880399668,25.580144954099048,0,0,0.0068769590302538664,0.005701880042745273,9,20,0.45,4.5,False
10,50,40,2.5,4.0,72,14,-0.009979213147787113,1.043220961858464,2.2661610815231605,0.31452385415117445,4817,0.2753425612158174,32.01930357090076,0,0,0.00643533590675531,0.007690498640630911,8,20,0.4,5.5,False
10,50,40,3.0,1.5,24,14,-0.09374156401296906,0.8613751735062627,1.2387192439244719,0.40881293266439167,6092,0.28551025160668714,15.600479732261443,2,0,0.0018835849906464635,0.0011319076330589643,3,20,0.15,4.5,False
10,50,40,3.0,1.5,48,14,-0.06773570214794541,0.898782356906245,1.2510606986657984,0.41577091094837726,5716,0.28611142897394554,22.5119989763008,1,0,0.0018748063856847013,0.0013529569746505215,6,20,0.3,3.5,False
10,50,40,3.0,1.5,72,14,-0.05865703323502489,0.9168091222591628,1.2670445508322945,0.41810928164168876,5536,0.2830692699664072,26.608351330444624,0,0,0.001957488851945198,0.0013102865780197893,8,20,0.4,4.5,False
10,50,40,3.0,2.0,24,14,-0.07296453091773854,0.9178447198397824,1.3970294185322198,0.3964714400982301,5922,0.28518664830541524,16.835114705025752,2,0,0.0021008961850192192,0.0010927433618932974,5,20,0.25,4.0,False
10,50,40,3.0,2.0,48,14,-0.047306277263216304,0.9420620522533442,1.49998501739412,0.38468852283195193,5378,0.2853856107355629,25.358377609612905,1,0,0.0021364171492229598,0.0017434395158990486,7,20,0.35,3.0,False
10,50,40,3.0,2.0,72,14,-0.04753327374503889,0.9396928427463036,1.5477072198448745,0.377351605024012,5097,0.2851510186776097,31.03060008854725,1,0,0.002547679559328615,0.0022047556381026524,8,20,0.4,4.0,False
10,50,40,3.0,3.0,24,14,-0.06062842346931454,0.935099219805289,1.4865830783873297,0.38924978894276085,5776,0.2814026491195992,17.845957596016575,1,0,0.0026085896498273978,0.002513401257933054,6,20,0.3,5.0,False
10,50,40,3.0,3.0,48,14,-0.020599493706413542,0.9940024162917773,1.7370689579145235,0.3648010031803539,5127,0.2574885140726125,28.124844231922832,0,0,0.0019485131487750125,0.0005699763826611016,9,20,0.45,4.0,False
10,50,40,3.0,3.0,72,14,-0.015221223138591913,1.0059690876868397,1.8628268306329314,0.35106350279133525,4768,0.27402835743161674,35.36377371042244,0,0,0.0039611709867833815,0.003128307441430315,9,20,0.45,5.0,False
10,50,40,3.0,4.0,24,14,-0.04888597628169274,1.010593445471198,1.5899607341913156,0.39184718494889026,5777,0.2628206672762823,18.150390360889904,0,0,0.00427057128591348,0.006563928627323934,6,20,0.3,6.0,False
10,50,40,3.0,4.0,48,14,-0.01545855520745557,1.0511260069327766,1.8379978789896287,0.36401540497762785,5008,0.25990446909805004,29.43063034138647,0,0,0.0019819719172996233,0.0008013026338318947,10,20,0.5,5.0,False
10,50,40,3.0,4.0,72,14,0.0059067555684432765,1.084297444617032,2.0291340957242587,0.34733928699912775,4594,0.2491513921039604,38.110354599608556,0,0,0.0014628679327716512,0.0007522550812942865,11,20,0.55,6.0,False
