fast_ema,slow_ema,breakout_window,atr_stop_mult,take_profit_mult,max_hold_bars,atr_window,train_return,train_pf,train_trades,valid_return,valid_pf,valid_trades,valid_win_rate,valid_payoff,valid_dd,rank_pf,ok
16,96,64,2.4,4.0,96,14,0.010246475262962455,1.4259563343786799,82,-0.0003755406559154122,0.613292349238808,4,0.5,0.613292349238808,0.00048470492005008774,0.613292349238808,False
12,64,32,3.2,5.0,64,14,0.007630787245611013,1.2216477438157547,137,-0.0017175833384356044,0.6010789162149424,17,0.4117647058823529,0.8586841660213462,0.0037247440443827066,0.6010789162149424,False
12,64,32,3.2,6.0,64,14,0.004682906948190534,1.1361200760344772,137,-0.0017175833384356044,0.6010789162149424,17,0.4117647058823529,0.8586841660213462,0.0037247440443827066,0.6010789162149424,False
12,64,32,2.8,3.5,64,14,0.0006420807332294726,1.0189671319188383,120,-0.0013029449099002778,0.5907136550833672,10,0.3,1.3783318618611897,0.002272607573755975,0.5907136550833672,False
8,48,24,3.2,5.0,64,14,0.005978850828877405,1.144453347835476,162,-0.0025058309675389605,0.5907071370560959,27,0.3333333333333333,1.1814142741121918,0.005414114403050744,0.5907071370560959,False
8,48,24,3.2,6.0,64,14,0.004873424105659025,1.1178914695465576,162,-0.0025058309675389605,0.5907071370560959,27,0.3333333333333333,1.1814142741121918,0.005414114403050744,0.5907071370560959,False
12,64,32,2.4,5.0,64,14,0.005744202504518944,1.1315366636829558,142,-0.002093892317865424,0.5833167170682101,17,0.35294117647058826,1.0694139812917185,0.0042137612891704375,0.5833167170682101,False
12,64,32,2.4,6.0,64,14,0.004844050552250315,1.1082869778963036,142,-0.002093892317865424,0.5833167170682101,17,0.35294117647058826,1.0694139812917185,0.0042137612891704375,0.5833167170682101,False
12,64,32,2.8,3.5,48,14,-0.005381857421835529,0.8500317261862487,131,-0.001355535077587925,0.5740492222986974,10,0.3,1.339448185363627,0.002445718390380394,0.5740492222986974,False
20,96,64,2.8,6.0,96,14,0.014039941302547461,1.867955528599527,68,-0.0004160810978262149,0.5709996628383516,5,0.6,0.38066644189223436,0.00048352839020732917,0.5709996628383516,False
20,96,64,2.8,5.0,96,14,0.013929871459220892,1.8360670730132747,69,-0.0004160810978262149,0.5709996628383516,5,0.6,0.38066644189223436,0.00048352839020732917,0.5709996628383516,False
12,64,32,3.2,5.0,48,14,-0.0032502731201079584,0.9140456707105445,155,-0.0017060525936801534,0.5680206630198952,17,0.35294117647058826,1.0413712155364745,0.003616330032608977,0.5680206630198952,False
12,64,32,3.2,6.0,48,14,-0.004506597896570889,0.8807749143227618,155,-0.0017060525936801534,0.5680206630198952,17,0.35294117647058826,1.0413712155364745,0.003616330032608977,0.5680206630198952,False
12,64,32,2.8,5.0,48,14,-0.00429625538636476,0.8984252144979509,157,-0.001930507428328515,0.5669234205144229,17,0.35294117647058826,1.0393596042764417,0.004085578504238447,0.5669234205144229,False
12,64,32,2.8,6.0,48,14,-0.005272259624724657,0.8737328862802959,156,-0.001930507428328515,0.5669234205144229,17,0.35294117647058826,1.0393596042764417,0.004085578504238447,0.5669234205144229,False
16,96,64,2.8,4.0,96,14,0.011045240643526289,1.582036744538637,78,-0.0004278335079695725,0.5643003387011293,5,0.6,0.3762002258007529,0.0009817156805876682,0.5643003387011293,False
12,64,32,3.2,4.0,64,14,0.007310719792275076,1.2322776247561593,130,-0.001741486211000005,0.5572107020445983,14,0.35714285714285715,1.0029792636802768,0.003793322559380297,0.5572107020445983,False
12,64,32,3.2,4.0,48,14,-0.0029419868947856706,0.915979171465376,147,-0.001619818623108169,0.5471323731114791,14,0.2857142857142857,1.367830932778698,0.0035748389206395636,0.5471323731114791,False
8,48,24,3.2,3.5,96,14,0.012260720424928826,1.4005025381140508,124,-0.002074647661457934,0.5422133147493052,15,0.3333333333333333,1.0844266294986105,0.003761646405492466,0.5422133147493052,False
8,48,24,3.2,3.5,48,14,-0.0021276763583986547,0.9421367174113079,153,-0.002315631667784486,0.5258786857565492,17,0.23529411764705882,1.7091057287087847,0.004402856855065745,0.5258786857565492,False
12,64,32,2.4,5.0,48,14,-0.0065058610468754115,0.8623612300760762,157,-0.0024202304259748706,0.5201790510425878,17,0.29411764705882354,1.2484297225022107,0.0044111180174326884,0.5201790510425878,False
12,64,32,2.4,6.0,48,14,-0.006925180478173167,0.8518506587041967,156,-0.0024202304259748706,0.5201790510425878,17,0.29411764705882354,1.2484297225022107,0.0044111180174326884,0.5201790510425878,False
